encoder.patch_embedding.projection.weight                    | shape: (768, 3, 2, 16, 16)
encoder.patch_embedding.projection.bias                      | shape: (768,)
encoder.pos_embedding.emb                                    | shape: (1, 1568, 768)
encoder.norm.weight                                          | shape: (768,)
encoder.norm.bias                                            | shape: (768,)
encoder.blocks.0.norm1.weight                                | shape: (768,)
encoder.blocks.0.norm1.bias                                  | shape: (768,)
encoder.blocks.0.attn.q_bias                                 | shape: (768,)
encoder.blocks.0.attn.v_bias                                 | shape: (768,)
encoder.blocks.0.attn.qkv.weight                             | shape: (2304, 768)
encoder.blocks.0.attn.proj.weight                            | shape: (768, 768)
encoder.blocks.0.attn.proj.bias                              | shape: (768,)
encoder.blocks.0.norm2.weight                                | shape: (768,)
encoder.blocks.0.norm2.bias                                  | shape: (768,)
encoder.blocks.0.mlp.layers.0.linear.weight                  | shape: (3072, 768)
encoder.blocks.0.mlp.layers.0.linear.bias                    | shape: (3072,)
encoder.blocks.0.mlp.layers.1.linear.weight                  | shape: (768, 3072)
encoder.blocks.0.mlp.layers.1.linear.bias                    | shape: (768,)
encoder.blocks.1.norm1.weight                                | shape: (768,)
encoder.blocks.1.norm1.bias                                  | shape: (768,)
encoder.blocks.1.attn.q_bias                                 | shape: (768,)
encoder.blocks.1.attn.v_bias                                 | shape: (768,)
encoder.blocks.1.attn.qkv.weight                             | shape: (2304, 768)
encoder.blocks.1.attn.proj.weight                            | shape: (768, 768)
encoder.blocks.1.attn.proj.bias                              | shape: (768,)
encoder.blocks.1.norm2.weight                                | shape: (768,)
encoder.blocks.1.norm2.bias                                  | shape: (768,)
encoder.blocks.1.mlp.layers.0.linear.weight                  | shape: (3072, 768)
encoder.blocks.1.mlp.layers.0.linear.bias                    | shape: (3072,)
encoder.blocks.1.mlp.layers.1.linear.weight                  | shape: (768, 3072)
encoder.blocks.1.mlp.layers.1.linear.bias                    | shape: (768,)
encoder.blocks.2.norm1.weight                                | shape: (768,)
encoder.blocks.2.norm1.bias                                  | shape: (768,)
encoder.blocks.2.attn.q_bias                                 | shape: (768,)
encoder.blocks.2.attn.v_bias                                 | shape: (768,)
encoder.blocks.2.attn.qkv.weight                             | shape: (2304, 768)
encoder.blocks.2.attn.proj.weight                            | shape: (768, 768)
encoder.blocks.2.attn.proj.bias                              | shape: (768,)
encoder.blocks.2.norm2.weight                                | shape: (768,)
encoder.blocks.2.norm2.bias                                  | shape: (768,)
encoder.blocks.2.mlp.layers.0.linear.weight                  | shape: (3072, 768)
encoder.blocks.2.mlp.layers.0.linear.bias                    | shape: (3072,)
encoder.blocks.2.mlp.layers.1.linear.weight                  | shape: (768, 3072)
encoder.blocks.2.mlp.layers.1.linear.bias                    | shape: (768,)
encoder.blocks.3.norm1.weight                                | shape: (768,)
encoder.blocks.3.norm1.bias                                  | shape: (768,)
encoder.blocks.3.attn.q_bias                                 | shape: (768,)
encoder.blocks.3.attn.v_bias                                 | shape: (768,)
encoder.blocks.3.attn.qkv.weight                             | shape: (2304, 768)
encoder.blocks.3.attn.proj.weight                            | shape: (768, 768)
encoder.blocks.3.attn.proj.bias                              | shape: (768,)
encoder.blocks.3.norm2.weight                                | shape: (768,)
encoder.blocks.3.norm2.bias                                  | shape: (768,)
encoder.blocks.3.mlp.layers.0.linear.weight                  | shape: (3072, 768)
encoder.blocks.3.mlp.layers.0.linear.bias                    | shape: (3072,)
encoder.blocks.3.mlp.layers.1.linear.weight                  | shape: (768, 3072)
encoder.blocks.3.mlp.layers.1.linear.bias                    | shape: (768,)
encoder.blocks.4.norm1.weight                                | shape: (768,)
encoder.blocks.4.norm1.bias                                  | shape: (768,)
encoder.blocks.4.attn.q_bias                                 | shape: (768,)
encoder.blocks.4.attn.v_bias                                 | shape: (768,)
encoder.blocks.4.attn.qkv.weight                             | shape: (2304, 768)
encoder.blocks.4.attn.proj.weight                            | shape: (768, 768)
encoder.blocks.4.attn.proj.bias                              | shape: (768,)
encoder.blocks.4.norm2.weight                                | shape: (768,)
encoder.blocks.4.norm2.bias                                  | shape: (768,)
encoder.blocks.4.mlp.layers.0.linear.weight                  | shape: (3072, 768)
encoder.blocks.4.mlp.layers.0.linear.bias                    | shape: (3072,)
encoder.blocks.4.mlp.layers.1.linear.weight                  | shape: (768, 3072)
encoder.blocks.4.mlp.layers.1.linear.bias                    | shape: (768,)
encoder.blocks.5.norm1.weight                                | shape: (768,)
encoder.blocks.5.norm1.bias                                  | shape: (768,)
encoder.blocks.5.attn.q_bias                                 | shape: (768,)
encoder.blocks.5.attn.v_bias                                 | shape: (768,)
encoder.blocks.5.attn.qkv.weight                             | shape: (2304, 768)
encoder.blocks.5.attn.proj.weight                            | shape: (768, 768)
encoder.blocks.5.attn.proj.bias                              | shape: (768,)
encoder.blocks.5.norm2.weight                                | shape: (768,)
encoder.blocks.5.norm2.bias                                  | shape: (768,)
encoder.blocks.5.mlp.layers.0.linear.weight                  | shape: (3072, 768)
encoder.blocks.5.mlp.layers.0.linear.bias                    | shape: (3072,)
encoder.blocks.5.mlp.layers.1.linear.weight                  | shape: (768, 3072)
encoder.blocks.5.mlp.layers.1.linear.bias                    | shape: (768,)
encoder.blocks.6.norm1.weight                                | shape: (768,)
encoder.blocks.6.norm1.bias                                  | shape: (768,)
encoder.blocks.6.attn.q_bias                                 | shape: (768,)
encoder.blocks.6.attn.v_bias                                 | shape: (768,)
